model,dataset,k,silhouette
kmeans,OG,2,1.0
kmeans,OG,3,1.0
kmeans,OG,4,1.0
kmeans,OG,5,1.0
kmeans,OG,6,1.0
kmeans,OG,7,1.0
kmeans,OG,8,1.0
kmeans,OG,9,1.0
kmeans,OG,10,1.0
kmeans,OG,11,1.0
kmeans,OG,12,1.0
kmeans,OG,13,1.0
kmeans,OG,14,1.0
kmeans,OG,15,1.0
kmeans,OG,16,1.0
kmeans,OG,17,1.0
kmeans,OG,18,1.0
kmeans,OG,19,1.0
kmeans,OG,20,1.0
kmeans,OG,21,1.0
kmeans,OG,22,1.0
kmeans,OG,23,1.0
kmeans,OG,24,1.0
kmeans,OG,25,1.0
gmm,OG,2,1.0
gmm,OG,3,1.0
gmm,OG,4,1.0
gmm,OG,5,1.0
gmm,OG,6,1.0
gmm,OG,7,1.0
gmm,OG,8,1.0
gmm,OG,9,1.0
gmm,OG,10,1.0
gmm,OG,11,1.0
gmm,OG,12,1.0
gmm,OG,13,1.0
gmm,OG,14,1.0
gmm,OG,15,1.0
gmm,OG,16,1.0
gmm,OG,17,1.0
gmm,OG,18,1.0
gmm,OG,19,1.0
gmm,OG,20,1.0
gmm,OG,21,1.0
gmm,OG,22,1.0
gmm,OG,23,1.0
gmm,OG,24,1.0
gmm,OG,25,1.0
kmeans,PCA,2,0.05992108827471776
kmeans,PCA,3,0.04658363944158495
kmeans,PCA,4,0.03987050960226133
kmeans,PCA,5,0.040015159966354984
kmeans,PCA,6,0.03241828913766157
kmeans,PCA,7,0.030697777654860724
kmeans,PCA,8,0.027387496034177776
kmeans,PCA,9,0.023986150264492294
kmeans,PCA,10,0.0276652084240647
kmeans,PCA,11,0.024842771379161566
kmeans,PCA,12,0.02628108419005296
kmeans,PCA,13,0.024948392571503913
kmeans,PCA,14,0.024618313834321597
kmeans,PCA,15,0.026078664058318837
kmeans,PCA,16,0.027160489689688688
kmeans,PCA,17,0.028422306547006976
kmeans,PCA,18,0.028505978187889667
kmeans,PCA,19,0.02867573547072772
kmeans,PCA,20,0.029825364593081837
kmeans,PCA,21,0.027886584147079164
kmeans,PCA,22,0.027972179015319433
kmeans,PCA,23,0.02860081658353683
kmeans,PCA,24,0.028486678135041285
kmeans,PCA,25,0.02862468380663296
gmm,PCA,2,0.048641923131178606
gmm,PCA,3,0.05556780755679544
gmm,PCA,4,0.05110677723431448
gmm,PCA,5,0.03537066848008539
