model,dataset,n_features,ari,accuracy
kmeans,OG,26,0.05428639345298136,
kmeans,OG,25,0.05428639345298136,
kmeans,OG,24,0.09094128431119335,
kmeans,OG,23,0.09094128431119335,
kmeans,OG,22,0.09094128431119335,
kmeans,OG,21,0.09094128431119335,
kmeans,OG,20,0.09094128431119335,
kmeans,OG,19,0.09094128431119335,
kmeans,OG,18,0.09094128431119335,
kmeans,OG,17,0.10361651499258814,
kmeans,OG,16,0.09094128431119335,
kmeans,OG,15,0.10361651499258814,
kmeans,OG,14,0.10361651499258814,
kmeans,OG,13,0.10361651499258814,
kmeans,OG,12,0.10361651499258814,
kmeans,OG,11,0.10361651499258814,
kmeans,OG,10,0.10361651499258814,
kmeans,OG,9,0.10361651499258814,
kmeans,OG,8,0.10361651499258814,
kmeans,OG,7,0.10361651499258814,
kmeans,OG,6,0.00010975992809493611,
kmeans,OG,5,0.10361651499258814,
kmeans,OG,4,9.059782480574592e-05,
kmeans,OG,3,0.10361651499258814,
kmeans,OG,2,0.10361651499258814,
kmeans,OG,1,0.10361651499258814,
gmm,OG,26,0.05428639345298136,
gmm,OG,25,0.05428639345298136,
gmm,OG,24,0.09094128431119335,
gmm,OG,23,0.10361651499258814,
gmm,OG,22,0.09094128431119335,
gmm,OG,21,0.09094128431119335,
gmm,OG,20,0.09094128431119335,
gmm,OG,19,0.09094128431119335,
gmm,OG,18,0.09094128431119335,
gmm,OG,17,0.10361651499258814,
gmm,OG,16,0.10361651499258814,
gmm,OG,15,0.10361651499258814,
gmm,OG,14,0.09094128431119335,
gmm,OG,13,0.10361651499258814,
gmm,OG,12,0.10361651499258814,
gmm,OG,11,0.10361651499258814,
gmm,OG,10,0.10361651499258814,
gmm,OG,9,0.10361651499258814,
gmm,OG,8,0.09094128431119335,
gmm,OG,7,0.09094128431119335,
gmm,OG,6,0.10361651499258814,
gmm,OG,5,0.10361651499258814,
gmm,OG,4,0.10361651499258814,
gmm,OG,3,0.10361651499258814,
gmm,OG,2,0.10361651499258814,
gmm,OG,1,0.10361651499258814,
mlp,OG,26,,0.7596
mlp,OG,25,,0.7592
mlp,OG,24,,0.7562
mlp,OG,23,,0.754
mlp,OG,22,,0.7564
mlp,OG,21,,0.753
mlp,OG,20,,0.7504
mlp,OG,19,,0.7504
mlp,OG,18,,0.7508
mlp,OG,17,,0.7488
mlp,OG,16,,0.747
mlp,OG,15,,0.7476
mlp,OG,14,,0.7488
